id,country,city,name,institution_stat,zipcode,date
432,usa,paramus,bergen community college,nj,07652-1508,2/11/2015
433,usa,nashville,lipscomb university,tn,37204,2/11/2015
434,usa,trinidad,trinidad state jr college,co,81082,2/11/2015
435,usa,millersville,millersville university,pa,17551,2/11/2015
436,usa,indianapolis,ivy tech comm coll - central,in,46208-5752,2/11/2015
437,usa,burlington,univ of vermont,vt,05405-0001,2/11/2015
438,usa,lynnwood,edmonds cmty coll-lynnwood,wa,98036,2/11/2015
439,usa,teaneck,fdu teaneck,nj,7666,2/11/2015
440,usa,carrollton,univ of west ga - carrollton,ga,30118-0001,2/11/2015
441,usa,des plaines,oakton community college,il,60016-1234,2/11/2015
442,usa,reedley,reedley clg,ca,93654,2/11/2015
443,usa,sweet briar,sweet briar college,va,24595-5001,2/11/2015
444,usa,ypsilanti,eastern michigan univ,mi,48197,2/11/2015
445,usa,terre haute,indiana state university,in,47809-1902,2/11/2015
446,usa,saint petersburg,eckerd college,fl,33711-4744,2/11/2015
447,usa,albany,university at albany,ny,12222-0001,2/11/2015
448,usa,cincinnati,xavier university,oh,45207-1035,2/11/2015
449,usa,spearfish,black hills state univ,sd,57799-8840,2/11/2015
450,usa,tucson,pima comm coll/desert vista,az,857096000,2/11/2015
451,usa,dearborn,univ of michigan-dearborn,mi,48128-2406,2/11/2015
452,usa,casper,university of wyoming,wy,82601,2/11/2015
453,usa,dekalb,northern illinois univ,il,60115,2/11/2015
454,usa,norfolk,tidewater comm coll/norfolk,va,23510-1910,2/11/2015
455,usa,valley glen,los angeles valley college,ca,914014096,2/11/2015
456,usa,worcester,clark university,ma,1610,2/11/2015
457,usa,cheney,eastern washington univ,wa,99004,2/12/2015
458,usa,avon park,south florida state coll,fl,33825,2/12/2015
459,usa,west barnstable,cape cod comm coll,ma,02668-1532,2/12/2015
460,usa,russellville,arkansas tech university,ar,72801,2/12/2015
461,usa,chesapeake,tidewater cc-chesapeake,va,23322-7108,2/12/2015
462,usa,irving,univ of dallas,tx,75062,2/12/2015
463,usa,norfolk,george washington univ,va,23502,2/12/2015
464,usa,glendale,arizona state univ - west,az,85306-4908,2/12/2015
465,usa,poughkeepsie,marist college,ny,12601-1350,2/12/2015
466,usa,kalamazoo,western michigan univ,mi,49008,2/12/2015
467,usa,delhi,suny - delhi,ny,13753,2/12/2015
468,usa,schuylkill haven,penn state u schuylkill,pa,17972-2202,2/12/2015
469,usa,marion,marion technical college,oh,43302,2/12/2015
470,usa,cedar city,southern utah university,ut,84720,2/12/2015
471,usa,oakland,laney college,ca,94607,2/12/2015
472,usa,long beach,long beach city college - a,ca,90808,2/12/2015
473,usa,clarinda,iowa western cc-clarinda,ia,51632,2/12/2015
474,usa,honolulu,hawaii pacific university,hi,96813,2/12/2015
475,usa,milwaukee,univ of wisconsin - milwaukee,wi,53211,2/12/2015
476,usa,torrance,el camino college,ca,90506,2/13/2015
477,usa,chicago,univ of illinois at chicago,il,60607-7100,2/13/2015
478,usa,new orleans,university of new orleans,la,70148-0001,2/13/2015
479,usa,malta,kishwaukee community coll,il,60150,2/13/2015
480,usa,honolulu,chaminade university,hi,96816,2/13/2015
481,usa,new york,cuny hunter college,ny,10021,2/13/2015
482,usa,canton,walsh university,oh,44720-3336,2/13/2015
483,usa,commerce,texas a&amp;m univ - commerce,tx,75428,2/13/2015
484,usa,blacksburg,virginia tech,va,24061,2/13/2015
485,usa,denver,community college of denver,co,80204,2/14/2015
486,usa,kingsville,coastal bend college-kingsvill,tx,78363,2/14/2015
487,usa,seminole,st petersburg  coll - seminole,fl,33772-2800,2/14/2015
488,usa,hayward,chabot college,ca,94545,2/15/2015
489,usa,watertown,jefferson community college,ny,13601-1822,2/15/2015
490,usa,university center,saginaw valley state univ,mi,48710-0001,2/15/2015
491,usa,louisville,kctcs-jefferson-downtown,ky,40202-2005,2/16/2015
492,usa,logan,utah state university,ut,84322,2/16/2015
493,usa,battle creek,kellogg community college,mi,49017-3306,2/16/2015
494,usa,saddle river,prentice hall university,nj,07458-1813,2/16/2015
495,usa,portland,portland cc-cascade,or,97217,2/16/2015
496,usa,tallahassee,florida state university,fl,32306,2/16/2015
497,usa,glendale,glendale community college,ca,91208,2/16/2015
498,usa,sioux falls,university of sioux falls,sd,57105,2/17/2015
499,usa,montclair,montclair state university,nj,07043-1624,2/17/2015
500,usa,bellingham,western washington univ,wa,98225,2/17/2015
501,usa,columbus,columbus state university,ga,31907-5679,2/17/2015
502,usa,valhalla,westchester cmty college,ny,10595-1550,2/17/2015
503,usa,bristol,roger williams university,ri,02809-2923,2/17/2015
504,usa,orange,chapman univ-orange,ca,92866,2/17/2015
505,usa,tallahassee,florida agric &amp; mech univ,fl,32307,2/17/2015
506,usa,las vegas,univ of nevada las vegas,nv,89154,2/18/2015
507,usa,bellevue,bellevue university,ne,68005-3058,2/18/2015
508,usa,norfolk,old dominion university,va,23529-0001,2/19/2015
509,usa,big rapids,ferris state university,mi,49307-2251,2/19/2015
510,usa,riverside,riverside city college,ca,92506,2/19/2015
511,usa,memphis,university of memphis,tn,38152-0001,2/19/2015
512,usa,medford,delta college,or,97504,2/19/2015
513,usa,portland,portland cmty coll sylvania,or,97219,2/19/2015
514,usa,norco,norco college,ca,92860-2600,2/19/2015
515,usa,los angeles,los angeles city college,ca,90029,2/19/2015
516,usa,wheeling,wheeling jesuit university,wv,26003,2/20/2015
517,usa,boaz,snead state comm college,al,35957-1650,2/20/2015
518,usa,moreno valley,moreno valley college,ca,92551-2045,2/20/2015
519,usa,ft wayne,univeristy of st francis,in,46807,2/21/2015
520,usa,bayside,queensborough cc of cuny,ny,11364,2/22/2015
521,usa,new york,fashion institute of tech,ny,10001,2/22/2015
522,usa,rockford,rock valley college,il,61114-5640,2/22/2015
523,usa,tucson,pima cc northwest,az,85709,2/23/2015
524,usa,walnut,mount san antonio college,ca,91789,2/23/2015
525,usa,villanova,villanova university,pa,19085-1603,2/23/2015
526,usa,pearl city,leeward community college,hi,96782,2/24/2015
527,usa,forest grove,pacific university,or,97116,2/24/2015
528,usa,oakdale,dowling college,ny,11769-1906,2/24/2015
529,usa,edinburg,univ of texas - pan american,tx,785412999,2/25/2015
530,usa,santa rosa,santa rosa junior college,ca,95401,2/25/2015
531,usa,nacogdoches,stephen f austin state univ,tx,75961,2/25/2015
532,usa,rohnert park,sonoma state university,ca,94928,2/26/2015
533,usa,valparaiso,valparaiso university,in,46383,2/27/2015
534,usa,columbus,sales associates,oh,43235,3/1/2015
535,usa,santa monica,santa monica college,ca,90405,3/4/2015
536,usa,west plains,missouri st u-west plain,mo,65775-2715,3/4/2015
537,usa,san francisco,golden gate univ-san francisco,ca,94105,3/4/2015
538,usa,petaluma,santa rosa jr college,ca,94954,3/4/2015
539,usa,chicago,loyola - chicago,il,60660,3/5/2015
540,usa,naples,fl southwestern st coll - naples,fl,34113-8976,3/6/2015
541,usa,batavia,genesee cc batavia,ny,14020,3/8/2015
542,usa,scottsdale,scottsdale cmty college,az,85256,3/10/2015
543,usa,grants,new mexico st u-grants,nm,87020,3/10/2015
544,usa,laredo,laredo community college,tx,78040,11/8/2016
545,usa,gainesville,brenau university,ga,30501,11/8/2016
546,usa,new britain,central conn state univ,ct,06050-2439,11/8/2016
547,usa,east stroudsburg,east stroudsburg university,pa,18301-2956,11/8/2016
548,usa,knoxville,pellissippi st cmty coll,tn,37932,11/8/2016
549,usa,jacksonville,fl st coll - jacksonville deerwood,fl,32256-8102,11/8/2016
550,usa,westminster,mcdaniel college,md,21157-4303,11/8/2016
551,usa,midland,midland college,tx,79705,11/8/2016
552,usa,fountain valley,coastline cmty coll,ca,92708,11/8/2016
553,usa,albuquerque,central new mexico comm coll,nm,87106,11/8/2016
554,usa,sacramento,sacramento city college,ca,95822,11/8/2016
555,usa,bend,central oregon cmty college,or,97701,11/8/2016
556,usa,allendale,gvsu - allendale,mi,49401-9401,11/8/2016
557,usa,grand rapids,grand rapids cmty coll,mi,49503,11/8/2016
558,usa,fond du lac,moraine park tech coll,wi,54935-2884,11/8/2016
559,usa,fort yates,sitting bull college,nd,58538-9721,11/8/2016
560,usa,buffalo,university at buffalo,ny,14260-1660,11/8/2016
561,usa,chicago,harold washington college,il,60601-2408,11/8/2016
562,usa,wichita falls,midwestern state university,tx,76308,11/8/2016
563,usa,midwest city,rose state college,ok,73110,11/8/2016
564,usa,campbellsville,campbellsville universtiy,ky,42718-2190,11/8/2016
565,usa,irving,north lake college,tx,75038,11/8/2016
566,usa,collegedale,southern adventist univ,tn,37315,11/8/2016
567,usa,wilkesboro,wilkes community college,nc,28697-2102,11/8/2016
568,usa,paris,paris jr coll-paris,tx,75460,11/8/2016
569,usa,new olreans,delta intl univ of new orleans,la,70170,11/8/2016
570,usa,evanston,northwestern university,il,60208-0873,11/8/2016
571,usa,troy,hudson valley community col,ny,12180-6037,11/8/2016
572,usa,selden,suffolk county cc (ammerman),ny,11784-2851,11/8/2016
573,usa,provo,brigham young univ-provo,ut,84602,11/8/2016
574,usa,san diego,western american university,ca,92108,11/8/2016
575,usa,manchester,manchester community college,nh,03102-8528,11/8/2016
576,usa,reno,univ of nevada sch medicine,nv,89557,11/8/2016
577,usa,bloomsburg,bloomsburg university,pa,17815-1301,11/8/2016
578,usa,fremont,ohlone college,ca,94539,11/8/2016
579,usa,ridgeland,holmes comm coll-ridgeland,ms,39157-1815,11/8/2016
580,usa,kankakee,kankakee community college,il,60901-6505,11/8/2016
581,usa,lancaster,antelope valley college,ca,93536,11/9/2016
582,usa,dowagiac,southwestern michigan coll,mi,49047,11/9/2016
583,usa,brooklyn,long island univ (brooklyn),ny,11201-5301,11/9/2016
584,usa,duluth,univ of minnesota-duluth,mn,55812-2403,11/9/2016
585,usa,acworth,chatt tech - north metro,ga,30102-3129,11/9/2016
586,usa,sylmar,los angeles mission college,ca,91342,11/9/2016
587,usa,brooklyn,kingsborough cmty college,ny,11235,11/9/2016
588,usa,victorville,victor valley college,ca,92395,11/9/2016
589,usa,lebanon,mckendree university,il,62254-1291,11/9/2016
590,usa,dallas,richland college,tx,75243,11/9/2016
591,usa,nashville,tennessee st univ-main camp,tn,37209-1500,11/9/2016
592,usa,philadelphia,comm college of philadelphi,pa,19130-3936,11/9/2016
593,usa,pikeville,kctcs-big sandy-pikeville,ky,41501,11/9/2016
594,usa,mount pleasant,central michigan university,mi,48859,11/9/2016
595,usa,orange,career networks institute,ca,92868,11/9/2016
596,usa,columbia,univ of sc - columbia,sc,29208,11/9/2016
597,usa,kirtland,lakeland comm college,oh,44094-5198,11/9/2016
598,usa,tomball,lonestar college - tomball,tx,77375,11/9/2016
599,usa,shelby,cleveland county comm coll,nc,28152-6224,11/9/2016
600,usa,oshkosh,univ of wisconsin - oshkosh,wi,54901-3551,11/9/2016
601,usa,melbourne,eastern fl st coll - melbourne,fl,32935-2310,11/9/2016
602,usa,blackwood,camden county college,nj,8012,11/9/2016
603,usa,buffalo,erie cmty coll-city campus,ny,14203-2601,11/9/2016
604,usa,elizabethtown,kctcs-elizabethtown,ky,42701-3053,11/10/2016
605,usa,vancouver,clark college,wa,98663,11/10/2016
606,usa,lubbock,wayland baptist univ lubboc,tx,79407,11/10/2016
607,usa,santa maria,allan hancock college,ca,93454,11/10/2016
608,usa,ellensburg,central washington univ,wa,98926,11/10/2016
609,usa,biloxi,william carey univ - gulfport,ms,39532,11/10/2016
610,usa,napa,napa valley college,ca,94558,11/10/2016
611,usa,goodman,holmes community college,ms,39079,11/10/2016
612,usa,odessa,odessa college,tx,79764,11/10/2016
613,usa,dover,delaware state university,de,19901-2202,11/10/2016
614,usa,welland,niagara college,on,l3c 7l3,11/10/2016
615,usa,portland,portland state university,or,97201,11/10/2016
616,usa,new york,american business institute,ny,10019-6700,11/10/2016
617,usa,clarksville,austin peay state univ,tn,37040-3086,11/10/2016
618,usa,plymouth,quincy -plymouth college,ma,02360-3309,11/10/2016
619,usa,jackson,jackson community college,mi,49201-8395,11/10/2016
620,usa,new castle,wilmington university,de,19720-6434,11/11/2016
621,usa,south euclid,notre dame college of ohio,oh,44121-4228,11/11/2016
622,usa,ft worth,tarrant cnty  coll nw,tx,76179,11/11/2016
623,usa,rock hill,york technical college,sc,29730-7318,11/11/2016
624,usa,ashland,southern oregon university,or,97520,11/11/2016
625,usa,cupertino,de anza college,ca,95014,11/11/2016
626,usa,kissimmee,valencia coll - osceola,fl,34744-3714,11/11/2016
627,usa,new orleans,delgado cmty clg,la,70119-4399,11/11/2016
628,usa,santa fe,santa fe comm college,nm,87508,11/11/2016
629,usa,new brunswick,rutgers state univ nj,nj,8903,11/11/2016
630,usa,new york,borough manhattan cc,ny,10007-1044,11/11/2016
631,usa,danville,kctcs-bluegrass-danville,ky,40422-9690,11/11/2016
632,usa,sturgeon bay,northeast wi tech coll,wi,54235-1317,11/11/2016
633,usa,canton,stark state collof technology,oh,44720-7228,11/12/2016
634,usa,el paso,univ of texas - el paso,tx,79968,11/12/2016
635,usa,anchorage,alaska whole health inst,ak,99503,11/12/2016
636,usa,houston,lonestar college - univ park,tx,77070-2607,11/12/2016
637,usa,palm beach gardens,palm beach state coll - north,fl,33410-2802,11/12/2016
638,usa,killeen,central texas college,tx,76549,11/12/2016
639,usa,kansas city,univ of kansas,ks,66100,11/12/2016
640,usa,kaneohe,windward community college,hi,96744,11/12/2016
641,usa,arnold,anne arundel cmty college,md,21012-1857,11/13/2016
642,usa,rancho cucamonga,chaffey clg,ca,91737,11/13/2016
643,usa,porterville,porterville college,ca,93257,11/13/2016
644,usa,beaumont,lamar university,tx,77710,11/13/2016
645,usa,university heights,john carroll university,oh,44118,11/13/2016
646,usa,corvallis,oregon state university,or,97331,11/14/2016
647,usa,st petersburg,st petersburg coll - downtown,fl,33701,11/14/2016
648,usa,huntington,mountwest comm &amp;tech college,wv,25701,11/14/2016
649,usa,harrisonburg,james madison university,va,22807-0001,11/14/2016
650,usa,levelland,south plains college,tx,79336,11/14/2016
651,usa,auburn,green river comm college,wa,98092,11/14/2016
652,usa,coon rapids,anoka ramsey cc - coon rapids,mn,55433,11/14/2016
653,usa,galveston,galveston college,tx,77550,11/14/2016
654,usa,cincinnati,univ of cincinnati/univ clg,oh,45221-0001,11/14/2016
655,usa,fort worth,tarrant county college district,texas,76102,11/14/2016
656,usa,sanford,seminole st coll of florida,fl,32773-6132,11/14/2016
657,usa,california,california univ of pa,pa,15419-1341,11/14/2016
658,usa,towson,towson university,md,21252-0001,11/14/2016
659,usa,canandaigua,finger lakes comm coll,ny,14424-8347,11/14/2016
660,usa,west long branch,monmouth univ,nj,07764-1804,11/15/2016
661,usa,worcester,quinsigamond community coll,ma,01606-2064,11/15/2016
662,usa,irvine,univ of calif - irvine,ca,92717,11/15/2016
663,usa,utica,mohawk valley cmty college,ny,13501-5308,11/15/2016
664,usa,indianapolis,ivy tech state coll - indianap,in,46208-4777,11/15/2016
665,usa,radford,radford university,va,24142,11/15/2016
666,usa,shelbyville,kctcs-jefferson-shelby county,ky,40065-9447,11/15/2016
667,usa,san antonio,texas a&amp;m university-san antonio,tx,78224,11/15/2016
668,usa,grayslake,college of lake county,il,60030,1/29/2016
669,usa,phoenix,paradise valley comm coll,az,85032,1/29/2016
670,usa,chicago,loyola univ - water tower,il,60611,1/29/2016
671,usa,frisco,collin college - preston rdge,tx,75035,1/29/2016
672,usa,oxford,miami univ - oxford,oh,45056-1846,1/29/2016
673,usa,san marcos,cal state u - san marcos,ca,92096,1/29/2016
674,usa,waukesha,uwc - waukesha,wi,53188-2720,1/29/2016
675,usa,storrs,univ of connecticut-storrs,ct,6269,1/29/2016
676,usa,green bay,ne wisconsin tech clg-gb,wi,54303,1/29/2016
677,usa,northridge,cal state u - northridge,ca,91330,1/29/2016
678,usa,sacramento,cal state u - sacramento,ca,95819,1/29/2016
679,usa,new paltz,suny at new paltz,ny,12561-2447,1/29/2016
680,usa,slippery rock,slippery rock univ of pa,pa,16057-1313,1/29/2016
681,usa,monroe,univ of louisiana at monroe,la,71209-9000,1/29/2016
682,usa,davie,florida  atlantic u-davie,fl,33314,1/29/2016
683,usa,durham,univ of new hampshire,nh,3824,1/29/2016
684,usa,martin,univ of tennessee - martin,tn,38238-0001,1/29/2016
685,usa,corsicana,navarro coll - corsicana,tx,75110,1/29/2016
686,usa,sioux city,western iowa tech cc,ia,51106-1918,1/29/2016
687,usa,missoula,university of montana,mt,59812-0003,1/29/2016
688,usa,east lansing,michigan state university,mi,48824,1/29/2016
689,usa,new haven,gateway cc - new haven,ct,6510,1/29/2016
690,usa,dearborn,henry ford cmty college,mi,48128-2407,1/29/2016
691,usa,kingston,university of rhode island,ri,02881-1124,1/29/2016
692,usa,philadelphia,st josephs university,pa,19131-1308,1/29/2016
693,usa,dayton,wright state university,oh,45435-0001,1/29/2016
694,usa,sioux city,morningside college,ia,51106-1717,1/29/2016
695,usa,cleveland,cleveland st cmty coll,tn,37312-2813,1/29/2016
696,usa,frostburg,frostburg state university,md,21532-2303,1/29/2016
697,usa,phoenix,south mountain comm college,az,85042,1/29/2016
698,usa,shreveport,southern univ-shreveport,la,71107,1/29/2016
699,usa,jamaica,st johns univ (queens),ny,11439-0001,1/29/2016
700,usa,lubbock,texas tech university,tx,79409,1/29/2016
701,usa,westfield,westfield state college,ma,01085-2580,1/29/2016
702,usa,la junta,otero junior college,co,81050,1/29/2016
703,usa,rio grande,university of rio grande,oh,45674-3100,1/29/2016
704,usa,boca raton,palm beach state coll - south,fl,33431-6418,1/29/2016
705,usa,salinas,hartnell community college,ca,93901,1/29/2016
706,usa,spokane,spokane falls comm coll,wa,99224,1/29/2016
707,usa,austin,austin c c - northridge,tx,787583190,1/29/2016
708,usa,murfreesboro,middle tennessee state univ,tn,37132-0001,1/29/2016
709,usa,batavia,univ cincinnati-clermont,oh,45103,1/29/2016
710,usa,kalispell,flathead vly comm college,mt,59901-2622,1/29/2016
711,usa,youngwood,westmoreland cnty cmty coll,pa,15697-1801,1/29/2016
712,usa,champaign,univ of illinois - champaign,il,61820,1/29/2016
713,usa,stephenville,tarleton state univ,tx,76402,1/29/2016
714,usa,salem,salem state university,ma,01970-5348,1/29/2016
715,usa,auburn hills,oakland cc - auburn hills,mi,48326,1/29/2016
716,usa,indianapolis,university of indianapolis,in,46227-3630,1/29/2016
717,usa,milwaukee,alverno college,wi,53215-4020,1/29/2016
718,usa,tyler,univ of texas - tyler,tx,75799,1/29/2016
719,usa,san diego,university of san diego,ca,92110,1/29/2016
720,usa,reading,reading area comm college,pa,19602-1014,1/29/2016
721,usa,largo,prince georges cmty college,md,20774-2109,1/29/2016
722,usa,pomona,cal state polytech u-pomona,ca,91768,1/29/2016
723,usa,billings,montana state univ - billings,mt,59101-0245,1/29/2016
724,usa,johnstown,fulton montgomery cmty coll,ny,12095-3749,1/29/2016
725,usa,lancaster,hacc  lancaster,pa,17602-2633,1/29/2016
726,usa,colorado spg,univ of colo-colo spr,co,80918,1/29/2016
727,usa,lufkin,angelina college,tx,75904,1/29/2016
728,usa,nashville,vanderbilt university,tn,37235-0001,1/29/2016
729,usa,plattsburgh,suny - plattsburgh,ny,12901-2637,1/29/2016
730,usa,wayne,william paterson university,nj,07470-2103,1/29/2016
731,usa,north miami,fiu -  biscayne bay campus,fl,33181,1/29/2016
732,usa,plano,collin college - spr crk,tx,75074,1/29/2016
733,usa,morrilton,univ of arkansas cc-morrilton,ar,72110,1/29/2016
734,usa,lock haven,lock haven  university,pa,17745-2342,1/29/2016
735,usa,clermont,lake sumter cc - southlake campus,fl,34711,1/29/2016
736,usa,chicago,malcolm x college,il,60612-3145,1/29/2016
737,usa,paterson,passaic county cmty college,nj,7509,1/29/2016
738,usa,la crosse,western tech coll,wi,54601-3368,1/29/2016
739,usa,bridgewater,bridgewater state university,ma,2325,1/29/2016
740,usa,frederick,frederick cmty college,md,21702-2964,1/29/2016
741,usa,denver,colorado community college onl,co,80230,1/29/2016
742,usa,brockton,massasoit community college,ma,2302,1/29/2016
743,usa,macomb,western illinois university,il,61455-1367,1/29/2016
744,usa,new haven,southern conn state univ,ct,06515-1330,1/29/2016
745,usa,youngstown,youngstown state university,oh,44555-0001,1/29/2016
746,usa,mission viejo,saddleback college,ca,92692,1/29/2016
747,usa,bloomfield hills,oakland community college,mi,48304-2223,1/29/2016
748,usa,wharton,wharton county jr college,tx,77488,1/29/2016
749,usa,emporia,emporia state university,ks,66801,1/29/2016
750,usa,menasha,uwc - fox valley,wi,54952-8002,1/29/2016
751,usa,austin,austin c c - riverside,tx,78741,1/29/2016
752,usa,san bernardino,cal state u - san bernardino,ca,92407,1/29/2016
753,usa,buffalo,buffalo state college,ny,14222-1004,1/29/2016
754,usa,patchogue,st josephs college - long island,ny,11772-2325,1/29/2016
755,usa,morristown,walters st cmty coll,tn,37813-1908,1/29/2016
756,usa,wilmington,del tech &amp;cc wilmington,de,19801-2412,1/29/2016
757,usa,huntington bch,coastline cc-huntngtn wstmn,ca,92649,1/29/2016
758,usa,sugarland,wharton cty jr coll - sugarland,tx,77479,1/29/2016
759,usa,rochester,oakland university,mi,48309-4402,1/29/2016
760,usa,burlington,university of vermont,vt,05405-0001,1/29/2016
761,usa,chicago,chicago state university,il,60628,1/29/2016
762,usa,pine bluff,u arkansas-pine bluff,ar,71601-2799,1/29/2016
763,usa,huntington,queens   huntington college,ny,11743,1/29/2016
764,usa,fullerton,fullerton college,ca,92832,1/29/2016
765,usa,tampa,university of tampa,fl,33606-1450,1/29/2016
766,usa,colorado springs,pikes peak cc - centennial cmps,co,80906,1/29/2016
767,usa,new york,john jay coll criminal just,ny,10019-1104,1/29/2016
768,usa,hazard,kctcs-hazard,ky,41701,1/29/2016
769,usa,aptos,cabrillo college,ca,95003,1/29/2016
770,usa,las vegas,coll of s nv - charleston,nv,89146,1/29/2016
771,usa,springfield,nvcc medical educ campus,va,22150-1913,1/29/2016
772,usa,frankfort,kentucky state university,ky,40601-2334,1/29/2016
773,usa,nanticoke,luzerne cty comm college,pa,18634-3814,1/29/2016
774,usa,manchester,sthrn nh univ cont/online educ,nh,3101,1/29/2016
775,usa,yakima,yakima valley comm coll,wa,98902,1/29/2016
776,usa,richmond,virginia commonwealth university,va,23284,1/29/2016
777,usa,athens,trinity valley cc - athens,tx,75751,1/29/2016
778,usa,woodbridge,no virginia cc - woodbridge,va,22191,1/29/2016
779,usa,phoenix,grand canyon university,az,85017,1/29/2016
780,usa,jamestown,guilford tech comm coll,nc,27282-0309,1/29/2016
781,usa,washington,trinity univeristy,dc,20017,1/29/2016
782,usa,cleveland,cleveland state university,oh,44115-2214,1/29/2016
783,usa,belle glade,palm beach state coll - glades,fl,33430-3611,1/29/2016
784,usa,hurst,tarrant cnty  coll ne,tx,76054,1/29/2016
785,usa,columbus,ivy tech comm coll - columbus,in,47203-1868,1/29/2016
786,usa,west windsor,mercer cnty c c-trenton,nj,08550-3407,1/29/2016
787,usa,columbus,franklin university,oh,43215-5301,1/29/2016
788,usa,el cajon,grossmont college,ca,92020,1/29/2016
789,usa,marion,marion military institute,al,36756,1/29/2016
790,usa,green bay,university of wisconsin - green bay,wi,54311,1/29/2016
791,usa,buies creek,campbell university,nc,27506,1/29/2016
792,usa,miami,miami-dade  coll north,fl,33167,1/29/2016
793,usa,kyle,austin cc - hays,tx,78640,11/15/2016
794,usa,pittsburgh,univ of pittsburgh,pa,15260-0001,11/15/2016
795,usa,farmington,tunxis cmty technical college,ct,06032-3324,11/15/2016
796,usa,tuscaloosa,univ of alabama -nursing,al,35487-0001,11/15/2016
797,usa,richmond,ivy tech comm coll - richmond,in,47374-1220,11/15/2016
798,usa,san diego,advanced college of tech,ca,92123,11/16/2016
799,usa,new orleans,delgado cc-west bank campus,la,70114-3047,11/16/2016
800,usa,branchburg,raritan valley comm coll,nj,8876,11/16/2016
801,usa,nj,test school s1,nj,1234,11/16/2016
802,usa,lincoln,southeast cmty coll-lincoln,ne,68520,11/16/2016
803,usa,newark,rutgers univ newark,nj,07102-1811,11/16/2016
804,usa,placerville,folsom lake coll - el dorado,ca,95667,11/16/2016
805,usa,hayward,cal state u - east bay,ca,94542,11/17/2016
806,usa,asheville,ashevl buncombe tech coll,nc,28801-4816,11/17/2016
807,usa,thibodaux,nicholls state university,la,70310,11/17/2016
808,usa,sheboygan,uwc-sheboygan county,wi,53081,11/17/2016
809,usa,dover,wesley college dover,de,19901-3835,11/18/2016
810,usa,newport news,christopher newport university,va,23606-0070,11/18/2016
811,usa,reno,university of nevada - reno,nv,89557-0042,11/18/2016
812,usa,blountville,northeast st cmty coll,tn,37617-6350,11/18/2016
813,usa,fort wayne,univ of st francis,in,46808,11/18/2016
814,usa,nashville,nashville state comm coll,tn,37209-4515,11/18/2016
815,usa,durango,fort lewis college,co,813013000,11/19/2016
816,usa,chicago,wilbur wright college-south,il,60634,11/20/2016
817,usa,waco,texas st tech coll-waco,tx,76705,11/20/2016
818,usa,deerfield bch,north broward tech ctr,fl,33442,11/20/2016
819,usa,milwaukee,technology institute,wi,53202-1806,11/20/2016
820,usa,brenham,blinn college-brenham camp,tx,77833,11/21/2016
821,usa,poteau,carl albert state college,ok,74953,11/21/2016
822,usa,hanceville,wallace st comm coll-hancevil,al,35077,11/21/2016
823,usa,edmond,ok christian univ,ok,73013,11/21/2016
824,usa,fairbury,southeast community college,ne,68352,11/21/2016
825,usa,barnesville,gordon state college - ga,ga,30204-1746,11/22/2016
826,usa,mesa,mesa comm coll - red mtn,az,85207-1908,11/22/2016
827,usa,williamsville,erie cmty clg north campus,ny,14221,11/22/2016
828,usa,bronx,fordham university-rose hil,ny,10458-5149,11/22/2016
829,usa,miami,miami-dade  coll-kendal,fl,33176,11/22/2016
830,usa,fresno,willow/intnl coll ctr,ca,93730-5401,11/22/2016
831,usa,chicago,wright city college,il,60634-1591,11/22/2016
832,usa,brooklyn,a&amp;m schwartz coll pharmacy,ny,11201-5423,11/23/2016
833,usa,ebensburg,admiral peary vo-tech,pa,15931,11/23/2016
834,usa,woodland hills,pierce college - la,ca,91371,11/25/2016
835,usa,sacramento,cosumnes river college,ca,95823,11/25/2016
836,usa,louisville,spalding university,ky,40203-2115,11/26/2016
837,usa,decatur,inst for construction educ,il,62526-2158,11/27/2016
838,usa,chicago,richard j daley college,il,60652-1369,11/28/2016
839,usa,peoria,univ of illinois,il,61656,11/28/2016
840,usa,oskaloosa,william penn university,ia,52577-1757,11/28/2016
841,usa,fairfield,fairfield university,ct,06824-5171,11/28/2016
842,usa,macon,middle ga st coll - macon,ga,31206,11/28/2016
843,usa,san jose,everest coll - san jose,ca,95117,11/28/2016
844,usa,doral,miami dade coll - west cmps,fl,33178-4856,11/28/2016
845,usa,tsaile,dine college - arizona,az,86556,11/28/2016
846,usa,memphis,univ of memphis,tn,38152,11/28/2016
847,usa,takoma park,washington adventist univ,md,20912-7744,11/28/2016
848,usa,waterbury,naugatuck vly comm tech col,ct,06708-3011,11/29/2016
849,usa,gallatin,volunteer st cmty college,tn,37066,11/29/2016
850,usa,dalton,dalton state college,ga,30720-3778,11/29/2016
851,usa,orlando,central florida reception ctr,fl,32831-2518,11/29/2016
852,usa,fairbanks,univ of alaska - fairbanks,ak,99775,11/30/2016
853,usa,moline,black hawk college,il,61265-5870,11/30/2016
854,usa,long island city,laguardia cc of cuny,ny,11101-3007,11/30/2016
855,usa,fremont,midland university,ne,68025-4254,11/30/2016
856,usa,dallas,univ of north texas - dallas,tx,75241,11/30/2016
857,usa,mahwah,ramapo c of new jersey,nj,07430-1623,11/30/2016
858,usa,lima,ohio state univ-lima,oh,45804,12/1/2016
859,usa,kapolei,univ of hawaii west oahu,hi,96707,12/1/2016
860,usa,elyria,lorain county cmty college,oh,44035-1613,12/1/2016
861,usa,ontario,treasure valley cmty coll,or,97914,12/2/2016
